action,label,regret,note,trial,optimal_action,Q_value_0,Q_value_1,Q_value_2,Q_value_3,Q_value_4,U_value_0,U_value_1,U_value_2,U_value_3,U_value_4,UCB_value_0,UCB_value_1,UCB_value_2,UCB_value_3,UCB_value_4
4,1,-0.4,action = 4,69,4,0.45655,0.43182,0.40183,0.43182,0.48127,0.11414030836036526,0.18404560383559695,0.13013995958958938,0.13717955468071286,0.07275047406580412,0.4793780616720731,0.4686291207671194,0.4278579919179179,0.45925591093614254,0.4958200948131608
4,0,0.6,action = 4,70,4,0.47508,0.43792,0.43234,0.42163,0.5,0.1143340850177989,0.1843580591148837,0.13036089894686007,0.13741244519902418,0.07176133807261441,0.4979468170035598,0.4747916118229767,0.458412179789372,0.44911248903980483,0.5143522676145229
4,0,0.6,action = 4,71,4,0.43862,0.41452,0.4153,0.4322,0.48147,0.11452479204970717,0.1846655647747812,0.13057833839294636,0.13764164648722346,0.07081607181584025,0.46152495840994145,0.4514531129549562,0.44141566767858925,0.45972832929744467,0.49563321436316804
4,1,-0.4,action = 4,72,4,0.43315,0.37897,0.39017,0.41381,0.46903,0.1147125213375448,0.18496826896959218,0.13079238268881277,0.1378672689730572,0.06991149422856464,0.4560925042675089,0.4159636537939184,0.41632847653776256,0.44138345379461147,0.48301229884571295
4,0,0.6,action = 4,73,4,0.48127,0.42008,0.41367,0.4321,0.51244,0.11489736076231777,0.1852663134030938,0.13100313203421118,0.1380894182763317,0.06904473790678067,0.5042494721524635,0.45713326268061877,0.4398706264068422,0.45971788365526634,0.5262489475813561
4,1,-0.4,action = 4,74,4,0.4564,0.43173,0.43173,0.43182,0.48132,0.11507939443154239,0.1855598336944976,0.1312106823264536,0.13830819548168402,0.06821321049786153,0.47941587888630843,0.46884196673889955,0.4579721364652907,0.45948163909633677,0.4949626420995723
4,0,0.6,action = 4,75,4,0.45054,0.41953,0.40761,0.42563,0.5,0.11525870289041969,0.18584895971895787,0.13141512540118835,0.13852369739238163,0.06741456173601108,0.47359174057808395,0.45669979194379157,0.43389302508023764,0.45333473947847636,0.5134829123472022
4,1,-0.4,action = 4,76,4,0.45655,0.42563,0.40747,0.42563,0.5,0.11543536331851965,0.18613381592471528,0.13161654925665422,0.1387360167667077,0.06664665517482456,0.4796370726637039,0.46285676318494307,0.43379330985133085,0.45337720335334153,0.5133293310349649
4,0,0.6,action = 4,77,4,0.43792,0.42572,0.41976,0.42586,0.48132,0.11560944971314771,0.18641452162876615,0.13181503826275068,0.13894524253834,0.0659075438466842,0.4610418899426295,0.4630029043257532,0.44612300765255014,0.453649048507668,0.49450150876933685
4,1,-0.4,action = 4,78,4,0.45031,0.43815,0.41967,0.42008,0.49376,0.11578103306045742,0.18669119129277345,0.13201067335613623,0.13915146002200282,0.06519544922078865,0.4734662066120915,0.4754882382585547,0.44607213467122725,0.4479102920044006,0.5067990898441577
4,1,-0.4,action = 4,79,4,0.46265,0.41367,0.38368,0.39597,0.51244,0.11595018149527542,0.18696393478077625,0.13220353222245673,0.13935475110555248,0.06450874294471397,0.4858400362990551,0.4510627869561552,0.4101207064444914,0.42384095022111046,0.5253417485889428
4,1,-0.4,action = 4,80,4,0.4564,0.43182,0.41976,0.41452,0.51248,0.11611696045051706,0.1872328576001155,0.13239368946670577,0.13955519442955272,0.06384593094497756,0.4796233920901034,0.4692665715200231,0.4462387378933412,0.44243103888591057,0.5252491861889955
